signal_id,symbol,side,entry_price,exit_price,quantity,entry_time,exit_time,exit_reason,pnl_gross,pnl_net,pnl_pct,fees,slippage,bars_held,capital_at_entry,source
1,BTCUSDT,BUY,43543.49999999999,44155.8,0.022965540206919523,2024-01-15T10:30:00,2024-01-15T10:45:00,TP,14.061800268697057,10.839285312389231,1.0839285312389229,1.208437080161218,2.014077876146608,1,10000.0,test_channel
2,ETHUSDT,BUY,2452.45,2517.48,0.4081974876271643,2024-01-15T11:00:00,2024-01-15T11:15:00,TP,26.545082620394574,23.299113343077924,2.3273886113886277,1.2172277638097233,2.0287415135069247,1,10010.83928531239,test_channel
3,SOLUSDT,SELL,98.4015,100.1,10.197139676382442,2024-01-15T12:15:00,2024-01-15T12:30:00,SL,-17.319841740335534,-20.558462478980264,-2.0488517959583863,1.2144885128828573,2.0241322257618704,1,10034.138398655468,test_channel
4,BNBUSDT,BUY,305.30499999999995,311.688,3.2798611015792374,2024-01-15T13:45:00,2024-01-15T14:00:00,TP,20.935353411380397,17.697488307318125,1.767348782365201,1.2141908043880068,2.0236742996742643,1,10013.579936176488,test_channel
5,ADAUSDT,BUY,0.52052,0.4995,1927.164647752979,2024-01-15T14:30:00,2024-01-15T14:45:00,SL,-40.509000895767585,-43.65415672687615,-4.351804349496648,1.179447890400596,1.9657079407079716,1,10031.277424483806,test_channel
6,XRPUSDT,SELL,0.5794199999999999,0.6005999999999999,1723.7277394216512,2024-01-15T15:00:00,2024-01-15T15:15:00,SL,-36.508553520950535,-39.76297217771141,-3.9812246729488,1.220419924243402,2.0339987325174778,1,9987.62326775693,test_channel
7,BTCUSDT,BUY,44043.99999999999,44955.0,0.022586187211831848,2024-01-16T09:00:00,2024-01-16T09:15:00,TP,20.576016549978977,17.359757042726613,1.745074470983595,1.2060888453994933,2.0101706618528703,1,9947.860295579218,test_channel
8,ETHUSDT,SELL,2477.52,2522.5199999999995,0.40222561483346025,2024-01-16T10:30:00,2024-01-16T10:45:00,SL,-18.10015266750553,-21.317967239587784,-2.1392369789143615,1.2066864979151366,2.0111280741671185,1,9965.220052621944,test_channel
9,MATICUSDT,BUY,0.8508499999999999,0.8191799999999999,1168.7021314429521,2024-01-16T11:45:00,2024-01-16T12:00:00,SL,-37.01279650279827,-40.13558963465214,-4.036201210554143,1.1710605723442038,1.9517325595096708,1,9943.902085382357,test_channel
10,LINKUSDT,BUY,14.514499999999998,13.986,68.2336042974109,2024-01-16T13:00:00,2024-01-16T13:15:00,SL,-36.0614598711815,-39.17293269722456,-3.955357056736334,1.1668151035670156,1.944657722476042,1,9903.766495747705,test_channel
